Id,Name,Tel,Add,Px,Py
67,滬尾礮臺(新北市立淡水古蹟博物館),886-2-26295390,新北市251淡水區中正路一段6巷34號,121.42937,25.17922
68,鄞山寺,886-2-26228965,新北市251淡水區鄧公里鄧公路15號,121.44855,25.16925
69,明志書院,886-2-29099551,新北市243泰山區明志路二段276號,121.42664,25.04698
70,泰山娃娃產業文化館,886-2-85311406,新北市243泰山區楓江路26巷26號4樓,121.43465,25.06205
71,鹿角溪人工濕地,886-2-89699596,新北市238樹林區環河路,121.4204,24.97278
72,五股夏綠地,886-2-29603456,新北市248五股區中興路四段1之6號,121.43974,25.08204
73,南子吝步道,886-2-24991115,新北市224瑞芳區南子吝步道,121.88754,25.12014
74,新北市立圖書館,886-2-29537868,新北市220板橋區貴興路139號,121.45515,25.00149
75,本山五坑,886-2-24962800,新北市224瑞芳區金瓜石金光路8號(黃金博物館園區),121.85896,25.10659
76,新北市立黃金博物館,886-2-24962800,新北市224瑞芳區金瓜石金光路8號,121.85766,25.10796
77,深澳漁港,886-2-29603456,新北市224瑞芳區深澳路,121.82071,25.13259
78,桃源谷,886-2-24991115,新北市228貢寮區桃源谷,121.89202,24.96639
79,新北大橋,886-2-29603456,新北市241三重區新北大橋,121.48329,25.04725
80,硬漢嶺,886-2-22928888,新北市248五股區觀音山,121.43176,25.1171
81,斬龍山遺址文化公園,886-2-29603456,新北市236土城區金城路二段37號,121.45102,24.97878
82,金瓜石神社(黃金神社),886-2-24962800,新北市224瑞芳區金瓜石金光路8號(黃金博物館園區),121.85883,25.1048
83,鹽寮海濱公園(藍灣海濱休憩園區),886-2-24902991,新北市228貢寮區研海街45號,121.92645,25.04124
84,鮮物本鋪,886-2-29603456,新北市228貢寮區美灔山街65-3號,121.91964,25.07236
85,石門嵩山社區百年石砌梯田,886-2-26381721,新北市253石門區北19鄉道,121.56654,25.24424
86,猴硐遊客中心,886-2-24974169,新北市224瑞芳區猴硐遊客中心,121.83132,25.09191
87,淡水重建街,886-2-26221020,新北市251淡水區淡水重建街,121.43989,25.17157
88,基隆山,886-2-24063270,新北市224瑞芳區九份基隆山,121.84916,25.11901
89,淡蘭吊橋(外按古道),886-2-26631080,新北市223石碇區石碇雙溪口與石碇老街之間,121.65414,24.99271
90,水碓觀景公園,886-2-29550808,新北市248五股區水碓九路69號,121.42868,25.07365
91,水牛坑(水牛坑越野場地),886-2-29603456,新北市244林口區西部濱海公路625號,121.3188,25.11984
92,八里水上運動中心,886-9-67056668,新北市249八里區忠五街70-1號,121.42194,25.16306
93,塭仔底溼地公園,886-2-29603456,新北市242新莊區中華路三段與昌和街交叉口(昌平國小旁),121.45568,25.05579
94,國家電影及視聽文化中心,886-2-85228000,新北市242新莊區文藝路2號,121.44742,25.05598
95,板樹體育館,886-2-29620462,新北市220板橋區溪城路90號,121.42767,24.98125
96,下罟子漁港,886-2-89526055,新北市249八里區下罟子里,121.38104,25.14275
97,浮洲遊戲場,886-2-29603456,新北市220板橋區浮洲遊戲場,121.44068,25.00352
98,八里渡船頭公園,886-2-29603456,新北市249八里區八里區龍米路2段201巷,121.4338,25.15755
99,水資源生態教育館,886-2-26667811,新北市231新店區新烏路三段43號,121.56253,24.90453
100,陳逢顯毫芒雕刻博物館,886-2-22125794,新北市231新店區安康路一段207巷17號,121.52497,24.96118
101,陀彌天 紫竹林寺,886-2-26668229,新北市231新店區松林路1號,121.54694,24.91192
102,獅頭山登山步道,886-2-29112281,新北市231新店區碧潭東岸,121.54834,24.95622
103,碧潭吊橋,886-2-29188509,新北市231新店區碧潭吊橋,121.53611,24.95632
104,和美山登山步道,886-2-29112281,新北市231新店區和美山,121.53482,24.95622
105,接雲寺,886-2-29661403,新北市220板橋區西門街69號,121.45442,25.0089
106,迪毅堂,886-2-29603456 分機4549,新北市220板橋區館前西路92號,121.45741,25.0074
107,中和瑞穗配水池,886-2-22482688,新北市235中和區莒光路自強公園,121.47152,24.99944
108,中和恐龍園區,886-2-29603456,新北市235中和區華中橋下,121.4951,25.00819
